step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy,model_id,base_model,seed,hyperparameters
1,0.98344,0.86957,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
2,0.6366,0.90476,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
3,0.98653,0.8,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
4,0.29936,0.90909,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
5,0.13742,0.94286,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
6,0.13349,0.95,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
7,0.06039,0.97143,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
8,0.28834,0.93301,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
9,0.09661,0.97143,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
10,0.14821,0.93976,0.29864,0.92632,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
11,0.0579,0.98492,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
12,0.0825,0.95556,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
13,0.29301,0.94815,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
14,0.11514,0.96471,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
15,0.28083,0.93103,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
16,0.06719,0.96,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
17,0.12829,0.95699,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
18,0.01164,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
19,0.01838,0.99281,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
20,0.15401,0.97143,0.02946,1.0,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
21,0.01963,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
22,0.43447,0.92453,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
23,0.09069,0.97619,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
24,0.21626,0.94444,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
25,0.29321,0.94872,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
26,0.27364,0.89773,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
27,0.01468,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
28,0.00437,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
29,0.02809,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
30,0.01677,0.98765,0.19023,0.96815,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
31,0.00015,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
32,0.05105,0.97727,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
33,1e-05,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
34,0.0,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
35,0.00153,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
36,0.0018,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
37,0.22146,0.96226,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
38,0.77388,0.94314,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
39,0.65318,0.93197,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
40,7e-05,1.0,0.50135,0.95789,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
41,0.577,0.93529,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
42,0.00312,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
43,0.11862,0.97436,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
44,0.14795,0.94186,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
45,0.02482,0.97727,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
46,0.11752,0.97959,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
47,7e-05,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
48,0.21352,0.93976,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
49,0.10783,0.98246,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
50,0.00031,1.0,0.13132,0.97143,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
51,0.00671,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
52,0.55327,0.90769,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
53,0.01113,0.99138,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
54,0.00977,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
55,0.02094,0.98,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
56,0.31587,0.92941,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
57,0.01577,0.98851,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
58,0.00391,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
59,0.00298,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
60,0.06616,0.97619,0.4673,0.90164,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
61,0.10736,0.95556,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
62,0.00126,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
63,0.05757,0.96471,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
64,1e-05,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
65,0.00661,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
66,0.01043,0.99138,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
67,0.00502,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
68,0.17196,0.97279,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
69,0.00016,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
70,0.07903,0.97727,0.1444,0.98039,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
71,0.13872,0.9759,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
72,0.0,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
73,0.0,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
74,0.0,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
75,0.10596,0.97849,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
76,0.0,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
77,0.56367,0.89231,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
78,0.00062,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
79,0.01125,0.98837,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
80,0.00035,1.0,0.24976,0.9697,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
81,0.00014,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
82,0.06916,0.98662,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
83,0.00051,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
84,0.27026,0.97436,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
