step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy,model_id,base_model,seed,hyperparameters
85,0.0,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
86,0.0,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
87,0.40373,0.95,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
88,0.29579,0.96226,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
89,0.0,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
90,0.2723,0.96591,0.15812,0.97619,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
91,0.28578,0.94258,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
92,0.22615,0.96386,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
93,0.25886,0.95294,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
94,0.00053,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
95,0.04237,0.97727,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
96,0.00348,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
97,0.0,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
98,0.00419,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
99,0.00016,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
100,0.0,1.0,0.03009,0.97872,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
101,0.00232,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
102,0.16629,0.95862,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
103,2e-05,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
104,0.03658,0.9898,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
105,0.0,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
106,0.00389,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
107,0.00014,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
108,0.03763,0.98291,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
109,0.05306,0.98246,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
110,1.14173,0.91111,0.24408,0.95092,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
111,3e-05,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
112,0.0,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
113,0.0,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
114,0.19423,0.96296,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
115,0.0,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
116,0.0,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
117,0.00696,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
118,0.0,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
119,0.00269,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
120,1e-05,1.0,0.32452,0.94118,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
121,0.0,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
122,4e-05,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
123,0.0,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
124,0.00763,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
125,0.0,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
126,0.13902,0.97727,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
127,0.24758,0.97826,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
128,0.06123,0.97778,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
129,0.0,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
130,0.10831,0.98235,0.03928,0.99713,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
131,0.0,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
132,0.0,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
133,0.0,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
134,0.0,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
135,0.08058,0.98795,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
136,0.40583,0.98113,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
137,0.0,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
138,0.0,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
139,0.0,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
140,0.0,1.0,0.0,1.0,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
141,0.0,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
142,0.0,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
143,0.08422,0.97959,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
144,0.0,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
145,0.31176,0.96923,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
146,0.09431,0.96226,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
147,0.0,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
148,0.0,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
149,0.10564,0.98,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
150,0.0,1.0,0.00159,1.0,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
151,0.16625,0.9759,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
152,0.00092,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
153,0.0,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
154,0.00011,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
155,0.0,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
156,0.0,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
157,0.04385,0.9931,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
158,0.0,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
159,0.84094,0.95,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
160,0.0,1.0,0.0,1.0,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
161,0.12385,0.97727,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
162,0.0,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
163,0.00413,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
164,0.05702,0.98851,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
165,0.0,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
166,0.0,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
167,0.13386,0.97647,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
168,0.0,1.0,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
169,0.06039,0.98565,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
170,1e-05,1.0,0.44724,0.95506,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
171,0.15654,0.98662,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
